"","fips","n50"
"1",9001,16295
"2",9003,16242
"3",9005,589
"4",9007,931
"5",9009,16584
"6",9011,2428
"7",9013,195
"8",9015,208
"9",9000,53472
"10",23001,73
"11",23003,31
"12",23005,470
"13",23007,3
"14",23009,9
"15",23011,135
"16",23013,27
"17",23015,9
"18",23017,12
"19",23019,256
"20",23021,12
"21",23023,14
"22",23025,26
"23",23027,13
"24",23029,19
"25",23031,112
"26",23000,1221
"27",25001,2052
"28",25003,1302
"29",25005,4091
"30",25007,88
"31",25009,1918
"32",25011,139
"33",25013,7214
"34",25015,283
"35",25017,9552
"36",25019,116
"37",25021,1138
"38",25023,2746
"39",25025,40417
"40",25027,2115
"41",25000,73171
"42",33001,31
"43",33003,18
"44",33005,47
"45",33007,14
"46",33009,50
"47",33011,231
"48",33013,74
"49",33015,217
"50",33017,27
"51",33019,22
"52",33000,731
"53",44001,39
"54",44003,250
"55",44005,2456
"56",44007,10145
"57",44009,1013
"58",44000,13903
"59",50001,28
"60",50003,37
"61",50005,39
"62",50007,95
"63",50009,2
"64",50011,30
"65",50013,0
"66",50015,5
"67",50017,13
"68",50019,10
"69",50021,58
"70",50023,45
"71",50025,36
"72",50027,45
"73",50000,443
"74",10001,6859
"75",10003,25739
"76",10005,11000
"77",10000,43598
"78",34001,21506
"79",34003,10899
"80",34005,10926
"81",34007,22625
"82",34009,2895
"83",34011,8826
"84",34013,104307
"85",34015,8684
"86",34017,23780
"87",34019,883
"88",34021,20427
"89",34023,9685
"90",34025,20415
"91",34027,4108
"92",34029,1536
"93",34031,11991
"94",34033,6204
"95",34035,3111
"96",34037,116
"97",34039,25316
"98",34041,325
"99",34000,318565
"100",36001,6124
"101",36003,142
"102",36005,97752
"103",36007,849
"104",36009,323
"105",36011,1007
"106",36013,755
"107",36015,1846
"108",36017,178
"109",36019,825
"110",36021,1064
"111",36023,66
"112",36025,93
"113",36027,5521
"114",36029,40352
"115",36031,115
"116",36033,110
"117",36035,304
"118",36037,436
"119",36039,876
"120",36041,1
"121",36043,37
"122",36045,124
"123",36047,208478
"124",36049,12
"125",36051,628
"126",36053,229
"127",36055,7937
"128",36057,260
"129",36059,16955
"130",36061,384482
"131",36063,3917
"132",36065,2417
"133",36067,4896
"134",36069,467
"135",36071,5228
"136",36073,319
"137",36075,125
"138",36077,129
"139",36079,84
"140",36081,51524
"141",36083,1179
"142",36085,5372
"143",36087,4483
"144",36089,42
"145",36091,694
"146",36093,1479
"147",36095,94
"148",36097,63
"149",36099,208
"150",36101,455
"151",36103,13120
"152",36105,714
"153",36107,177
"154",36109,999
"155",36111,2371
"156",36113,116
"157",36115,479
"158",36117,428
"159",36119,38061
"160",36121,581
"161",36123,89
"162",36000,918191
"163",42001,267
"164",42003,112964
"165",42005,884
"166",42007,8406
"167",42009,215
"168",42011,3328
"169",42013,1124
"170",42015,75
"171",42017,2491
"172",42019,369
"173",42021,3062
"174",42023,6
"175",42025,16
"176",42027,425
"177",42029,14962
"178",42031,21
"179",42033,297
"180",42035,18
"181",42037,79
"182",42039,957
"183",42041,1665
"184",42043,14667
"185",42045,29415
"186",42047,25
"187",42049,3528
